tic,date,neg,neu,pos,compound
ABT,2024-01-22,0.0,1.0,0.0,0.0
ABT,2024-01-24,0.04585,0.8712,0.08295,0.07173
ABT,2024-01-25,0.18133333333333335,0.7648333333333334,0.05383333333333332,-0.19021666666666667
ABT,2024-01-26,0.0,0.8895,0.1105,0.08895
ABT,2024-01-29,0.0,1.0,0.0,0.0
ABT,2024-01-30,0.0,1.0,0.0,0.0
ABT,2024-01-31,0.17875,0.729,0.0925,-0.051175
ABT,2024-02-01,0.04,0.748,0.21200000000000002,0.33506
ABT,2024-02-02,0.10633333333333334,0.731,0.16266666666666665,0.1789333333333333
ABT,2024-02-03,0.096,0.904,0.0,-0.11315
ACGL,2023-08-02,0.0,0.631,0.369,0.4767
ACGL,2023-08-10,0.0,1.0,0.0,0.0
ACGL,2023-08-14,0.0,1.0,0.0,0.0
ACGL,2023-08-16,0.0,1.0,0.0,0.0
ACGL,2023-08-17,0.0,0.769,0.231,0.128
ACGL,2023-08-22,0.0,1.0,0.0,0.0
ACGL,2023-08-23,0.0,0.721,0.279,0.4767
ACGL,2023-08-24,0.204,0.796,0.0,-0.3182
ACGL,2023-08-25,0.13066666666666668,0.8693333333333334,0.0,-0.2654666666666667
ACGL,2023-08-28,0.0,1.0,0.0,0.0
ACGL,2023-09-01,0.0,1.0,0.0,0.0
ACGL,2023-09-04,0.0,1.0,0.0,0.0
ACGL,2023-09-05,0.0,1.0,0.0,0.0
ACGL,2023-09-08,0.0,0.7050000000000001,0.29500000000000004,0.44620000000000004
ACGL,2023-09-12,0.0,0.729,0.271,0.36345
ACGL,2023-09-13,0.189,0.811,0.0,-0.2732
ACGL,2023-09-19,0.0,0.75,0.25,0.4588
ACGL,2023-09-21,0.0,0.759,0.241,0.4336
ACGL,2023-09-22,0.0,1.0,0.0,0.0
ACGL,2023-09-23,0.0,1.0,0.0,0.0
ACGL,2023-09-25,0.1395,0.6455,0.21550000000000002,0.07854999999999998
ACGL,2023-09-26,0.0,1.0,0.0,0.0
ACGL,2023-09-29,0.175,0.825,0.0,-0.1779
ACGL,2023-10-02,0.0,1.0,0.0,0.0
ACGL,2023-10-04,0.0,0.8545,0.1455,0.31245
ACGL,2023-10-06,0.0,0.596,0.404,0.7269
ACGL,2023-10-07,0.0,0.847,0.153,0.2023
ACGL,2023-10-09,0.0,0.588,0.412,0.6497
ACGL,2023-10-10,0.0,0.844,0.156,0.3548
ACGL,2023-10-11,0.0,1.0,0.0,0.0
ACGL,2023-10-12,0.277,0.723,0.0,-0.6808
ACGL,2023-10-13,0.0,1.0,0.0,0.0
ACGL,2023-10-14,0.0,1.0,0.0,0.0
ACGL,2023-10-15,0.0,0.756,0.244,0.4404
ACGL,2023-10-16,0.0,0.602,0.398,0.6486
ACGL,2023-10-17,0.0,0.754,0.246,0.41355
ACGL,2023-10-20,0.0,0.73,0.27,0.5719
ACGL,2023-10-23,0.0,0.855,0.145,0.27115
ACGL,2023-10-25,0.0,0.888,0.112,0.1909
ACGL,2023-10-26,0.0945,0.7575000000000001,0.148,0.11035
ACGL,2023-10-27,0.0,0.833,0.167,0.2023
ACGL,2023-10-30,0.0,1.0,0.0,0.0
ACGL,2023-10-31,0.0,0.673,0.327,0.34
ACGL,2023-11-01,0.0,1.0,0.0,0.0
ACGL,2023-11-02,0.0,0.899,0.101,0.2553
ACGL,2023-11-07,0.0,1.0,0.0,0.0
ACGL,2023-11-08,0.0,0.794,0.206,0.3818
ACGL,2023-11-09,0.0,1.0,0.0,0.0
ACGL,2023-11-10,0.0,1.0,0.0,0.0
ACGL,2023-11-11,0.0,1.0,0.0,0.0
ACGL,2023-11-13,0.0,1.0,0.0,0.0
ACGL,2023-11-16,0.0,0.584,0.416,0.6908
ACGL,2023-11-21,0.0,1.0,0.0,0.0
ACGL,2023-11-22,0.0,0.859,0.141,0.2023
ACGL,2023-11-24,0.0,0.469,0.531,0.7783
ACGL,2023-11-27,0.0,0.847,0.153,0.26335
ACGL,2023-11-29,0.0945,0.9055,0.0,-0.1366
ACGL,2023-12-08,0.0,1.0,0.0,0.0
ACGL,2023-12-09,0.518,0.296,0.185,-0.6697
ACGL,2023-12-11,0.0,0.6725,0.3275,0.5152
ACGL,2023-12-13,0.0,0.7155,0.2845,0.48845000000000005
ACGL,2023-12-15,0.0,1.0,0.0,0.0
ACGL,2023-12-18,0.0,0.576,0.424,0.7096
ACGL,2023-12-26,0.0,0.625,0.375,0.6369
ACGL,2024-01-04,0.0,0.847,0.153,0.26335
ACGL,2024-01-09,0.0,1.0,0.0,0.0
ACGL,2024-01-13,0.0,0.405,0.595,0.707
ACGL,2024-01-16,0.0,1.0,0.0,0.0
ACGL,2024-01-17,0.0,1.0,0.0,0.0
ACGL,2024-01-25,0.0,0.849,0.151,0.1531
ACGL,2024-01-29,0.0,0.732,0.268,0.5106
ACGL,2024-01-30,0.0,0.576,0.424,0.7096
ACN,2023-12-06,0.043333333333333335,0.9286666666666666,0.028,0.055999999999999994
ACN,2023-12-09,0.0,0.674,0.326,0.5256
ACN,2023-12-11,0.0,0.8626666666666667,0.13733333333333334,0.24766666666666667
ACN,2023-12-12,0.0,0.8225,0.1775,0.2553
ACN,2023-12-13,0.0,0.8245,0.1755,0.42405
ACN,2023-12-14,0.0,0.8280000000000001,0.172,0.31845
ACN,2023-12-15,0.053,0.884,0.06266666666666666,0.03423333333333333
ACN,2023-12-17,0.0,1.0,0.0,0.0
ACN,2023-12-18,0.0,1.0,0.0,0.0
ACN,2023-12-19,0.03137037037037037,0.8935185185185185,0.07514814814814814,0.08062592592592592
ACN,2023-12-20,0.0,0.874,0.126,0.20095
ACN,2023-12-21,0.0,0.786,0.214,0.4588
ACN,2023-12-22,0.0,0.92,0.08,0.1027
ACN,2023-12-23,0.0,1.0,0.0,0.0
ACN,2023-12-24,0.0,0.796,0.204,0.3182
ACN,2023-12-26,0.073,0.798,0.129,0.20095
ACN,2023-12-27,0.0,0.656,0.344,0.6369
ACN,2023-12-28,0.0,1.0,0.0,0.0
ACN,2023-12-29,0.0,0.761,0.239,0.296
ACN,2023-12-31,0.0,0.816,0.184,0.4019
ACN,2024-01-02,0.0,0.714,0.286,0.34
ACN,2024-01-03,0.0,0.504,0.496,0.7096
ACN,2024-01-04,0.0,1.0,0.0,0.0
ACN,2024-01-05,0.0,0.543,0.457,0.6369
ACN,2024-01-08,0.0,0.925,0.075,0.1591
ACN,2024-01-09,0.0,0.8458,0.15419999999999998,0.27724000000000004
ACN,2024-01-10,0.0,0.7793333333333333,0.22066666666666668,0.359
ACN,2024-01-11,0.0,0.531,0.469,0.6486
ACN,2024-01-12,0.0,1.0,0.0,0.0
ACN,2024-01-16,0.09528571428571429,0.7934285714285715,0.1112857142857143,0.06007142857142857
ACN,2024-01-17,0.07766666666666668,0.82,0.102,-0.016800000000000006
ACN,2024-01-18,0.072,0.9279999999999999,0.0,-0.09866666666666667
ACN,2024-01-20,0.0,0.574,0.426,0.6361
ACN,2024-01-22,0.0,1.0,0.0,0.0
ACN,2024-01-24,0.0,1.0,0.0,0.0
ACN,2024-01-25,0.0,1.0,0.0,0.0
ACN,2024-01-26,0.03675,0.75,0.21325,0.3381
ACN,2024-01-29,0.0,0.761,0.239,0.296
ACN,2024-01-31,0.0,0.61,0.39,0.4927
ACN,2024-02-01,0.113,0.484,0.403,0.6597
ACN,2024-02-02,0.222,0.635,0.143,-0.25
ACN,2024-02-03,0.0,0.719,0.281,0.5994
ADBE,2023-12-18,0.0969375,0.8453125,0.0576875,-0.058125
ADBE,2023-12-19,0.034833333333333334,0.7755000000000001,0.18966666666666665,0.28578333333333333
ADBE,2023-12-20,0.1196,0.7969999999999999,0.0834,-0.12267999999999998
ADBE,2023-12-21,0.052,0.721875,0.226125,0.27355
ADBE,2023-12-22,0.0,0.903,0.097,0.17
ADBE,2023-12-24,0.0,0.543,0.457,0.6369
ADBE,2023-12-26,0.0,1.0,0.0,0.0
ADBE,2023-12-27,0.0,0.536,0.46399999999999997,0.54605
ADBE,2023-12-28,0.0,0.567,0.433,0.7269
